Hour,Timestamp,Busyness Predicted,Taxi Zone ID
21,1690833600.0,-0.378739584595957,151
22,1690837200.0,-0.4297551797511835,151
23,1690840800.0,-0.3848414498988372,151
0,1690758000.0,-0.09975430050198428,152
1,1690761600.0,-0.2988151521861026,152
2,1690765200.0,-0.6066092429559683,152
3,1690768800.0,-0.6621262141543026,152
4,1690772400.0,-0.8220751095527478,152
5,1690776000.0,-0.8915792799632165,152
6,1690779600.0,-0.8587863319487632,152
7,1690783200.0,-0.8505838244924326,152
8,1690786800.0,-0.7837633978969596,152
9,1690790400.0,-0.7103409531049282,152
10,1690794000.0,-0.6043245500757718,152
11,1690797600.0,-0.5511923023363692,152
12,1690801200.0,-0.4821712030087102,152
13,1690804800.0,-0.4579638029546614,152
14,1690808400.0,-0.43025533264486215,152
15,1690812000.0,-0.37743918707239243,152
16,1690815600.0,-0.3639350589430679,152
17,1690819200.0,-0.2749078438682614,152
18,1690822800.0,-0.09185188478186099,152
19,1690826400.0,-0.08705041700254548,152
20,1690830000.0,-0.1031553401789993,152
21,1690833600.0,-0.2053865916469235,152
22,1690837200.0,0.019082027036072327,152
23,1690840800.0,0.07079738223706807,152
0,1690758000.0,-0.4326539755914139,158
1,1690761600.0,-0.6696114778141893,158
2,1690765200.0,-0.7298578867662049,158
3,1690768800.0,-0.8445819897682886,158
4,1690772400.0,-0.8946973097148933,158
5,1690776000.0,-0.9039001229585815,158
6,1690779600.0,-0.8755914691763667,158
7,1690783200.0,-0.8560855063228978,158
8,1690786800.0,-0.7682586581929195,158
9,1690790400.0,-0.6937358770347952,158
10,1690794000.0,-0.34182830104246986,158
11,1690797600.0,-0.2494000462906482,158
12,1690801200.0,-0.23509567353143765,158
13,1690804800.0,-0.22849365533487898,158
14,1690808400.0,-0.1711761337193011,158
15,1690812000.0,-0.14916940639743867,158
16,1690815600.0,-0.1843801701124184,158
17,1690819200.0,-0.14356769398823746,158
18,1690822800.0,-0.1427674493583515,158
19,1690826400.0,-0.14326760225203022,158
20,1690830000.0,-0.18768117921069782,158
21,1690833600.0,-0.322322338189001,158
22,1690837200.0,-0.31171909684301286,158
23,1690840800.0,-0.21048815116244599,158
0,1690758000.0,-0.1124581840014229,161
1,1690761600.0,-0.5023773799133292,161
2,1690765200.0,-0.7880647127825969,161
3,1690768800.0,-0.8404807360401233,161
4,1690772400.0,-0.7968674037113418,161
5,1690776000.0,-0.6315168570611664,161
6,1690779600.0,0.21874306219260514,161
7,1690783200.0,0.13361703968849215,161
8,1690786800.0,0.44091097756467895,161
9,1690790400.0,1.1590305023085405,161
10,1690794000.0,1.9218636957472772,161
11,1690797600.0,2.2214552790608133,161
12,1690801200.0,2.631680682456077,161
13,1690804800.0,2.635981997341714,161
14,1690808400.0,2.6533873180417324,161
15,1690812000.0,2.593869123693968,161
16,1690815600.0,2.4619287903415294,161
17,1690819200.0,2.2606672659252234,161
18,1690822800.0,1.8184320773345253,161
19,1690826400.0,1.8392384377115596,161
20,1690830000.0,1.8377325545916396,161
21,1690833600.0,1.4803287212077312,161
22,1690837200.0,1.4345147161467628,161
23,1690840800.0,0.9208576943387493,161
0,1690758000.0,-0.14006662373248666,162
1,1690761600.0,-0.5548934337495917,162
2,1690765200.0,-0.7526538879101453,162
3,1690768800.0,-0.8432815922447237,162
4,1690772400.0,-0.8388802467803513,162
5,1690776000.0,-0.7222445919744812,162
6,1690779600.0,-0.37273774987181313,162
7,1690783200.0,0.19283514230004892,162
8,1690786800.0,0.40980146757786406,162
9,1690790400.0,0.8132247916190953,162
10,1690794000.0,1.123319585699883,162
11,1690797600.0,1.2547597661586427,162
12,1690801200.0,1.2862693984604014,162
13,1690804800.0,1.5242421452727217,162
14,1690808400.0,1.6423782587596278,162
15,1690812000.0,1.9947859876456318,162
16,1690815600.0,2.068008371280191,162
17,1690819200.0,2.2526648196263626,162
18,1690822800.0,2.2227556765843772,162
19,1690826400.0,1.822533331062692,162
20,1690830000.0,0.9132553703548334,162
21,1690833600.0,0.9318610579996807,162
22,1690837200.0,0.7337004815241837,162
23,1690840800.0,0.45841632884343314,162
0,1690758000.0,0.022983219606766126,163
1,1690761600.0,-0.5038778385943654,163
2,1690765200.0,-0.7630570680986623,163
3,1690768800.0,-0.8184740087182609,163
4,1690772400.0,-0.8341788095797716,163
5,1690776000.0,-0.6915352043026097,163
6,1690779600.0,-0.6667276207761461,163
7,1690783200.0,-0.42255297808221043,163
8,1690786800.0,-0.13266436090604206,163
9,1690790400.0,0.5286377951159205,163
10,1690794000.0,0.6876864153057445,163
11,1690797600.0,1.0733042963320136,163
12,1690801200.0,1.0981118798584777,163
13,1690804800.0,1.1367236832504721,163
14,1690808400.0,1.1391244171401298,163
15,1690812000.0,1.159230563466013,163
16,1690815600.0,1.1737349973826956,163
17,1690819200.0,1.4533204649490832,163
18,1690822800.0,1.3429867366035637,163
19,1690826400.0,1.037893471459563,163
20,1690830000.0,1.0297909945819679,163
21,1690833600.0,1.0506929496852184,163
22,1690837200.0,0.8741335055436177,163
23,1690840800.0,0.33486070123125117,163
0,1690758000.0,0.12783861693056955,164
1,1690761600.0,-0.31161906626427693,164
2,1690765200.0,-0.690534898515252,164
3,1690768800.0,-0.7110411671560785,164
4,1690772400.0,-0.7869643764165035,164
5,1690776000.0,-0.8201745285567685,164
6,1690779600.0,-0.76005615073659,164
7,1690783200.0,-0.49567533113803464,164
8,1690786800.0,-0.1860806899509261,164
9,1690790400.0,0.10920957847697217,164
10,1690794000.0,0.40800091716062153,164
11,1690797600.0,0.752206138590295,164
12,1690801200.0,1.0593000153090106,164
13,1690804800.0,1.0773055194814436,164
14,1690808400.0,1.2495581760643844,164
15,1690812000.0,1.3335838622024043,164
16,1690815600.0,1.3339839845173471,164
17,1690819200.0,1.1907401957677706,164
18,1690822800.0,1.058599801257861,164
19,1690826400.0,1.0412945111365783,164
20,1690830000.0,0.8981507529657367,164
21,1690833600.0,0.9063532604220673,164
22,1690837200.0,0.7961195626552844,164
23,1690840800.0,0.48567008232919023,164
0,1690758000.0,0.13241667274366337,166
1,1690761600.0,-0.4663532390148724,166
2,1690765200.0,-0.6529234009106148,166
3,1690768800.0,-0.8208747426079186,166
4,1690772400.0,-0.8138726020964173,166
