Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
16,1691247600.0,0.35369974,246
17,1691251200.0,0.33384362,246
18,1691254800.0,0.3450427,246
19,1691258400.0,0.2807898,246
20,1691262000.0,0.21017717,246
21,1691265600.0,0.14541543,246
22,1691269200.0,0.116592824,246
23,1691272800.0,0.109355874,246
0,1691190000.0,0.09221062,249
1,1691193600.0,0.07379968,249
2,1691197200.0,0.053120013,249
3,1691200800.0,0.044404037,249
4,1691204400.0,0.040494353,249
5,1691208000.0,0.034662742,249
6,1691211600.0,0.040402766,249
7,1691215200.0,0.051626544,249
8,1691218800.0,0.15168679,249
9,1691222400.0,0.18799828,249
10,1691226000.0,0.28145644,249
11,1691229600.0,0.29503345,249
12,1691233200.0,0.27936634,249
13,1691236800.0,0.30368924,249
14,1691240400.0,0.3004999,249
15,1691244000.0,0.2884981,249
16,1691247600.0,0.26332253,249
17,1691251200.0,0.2434664,249
18,1691254800.0,0.2546655,249
19,1691258400.0,0.18521547,249
20,1691262000.0,0.13855793,249
21,1691265600.0,0.11161626,249
22,1691269200.0,0.082793616,249
23,1691272800.0,0.07555666,249
0,1691190000.0,0.10605812,261
1,1691193600.0,0.09138566,261
2,1691197200.0,0.07070596,261
3,1691200800.0,0.06918739,261
4,1691204400.0,0.06229393,261
5,1691208000.0,0.04478129,261
6,1691211600.0,0.041253403,261
7,1691215200.0,0.039286267,261
8,1691218800.0,0.13934654,261
9,1691222400.0,0.21936062,261
10,1691226000.0,0.31281865,261
11,1691229600.0,0.32195053,261
12,1691233200.0,0.32330254,261
13,1691236800.0,0.34888765,261
14,1691240400.0,0.338223,261
15,1691244000.0,0.3537721,261
16,1691247600.0,0.32859653,261
17,1691251200.0,0.3071089,261
18,1691254800.0,0.31830797,261
19,1691258400.0,0.26563606,261
20,1691262000.0,0.19502337,261
21,1691265600.0,0.13026172,261
22,1691269200.0,0.101439126,261
23,1691272800.0,0.09420211,261
0,1691190000.0,0.13273548,262
1,1691193600.0,0.11806297,262
2,1691197200.0,0.097383305,262
3,1691200800.0,0.05935133,262
